date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt
1987-07-20,07:53:44.50,4.01,126.41,77.5,5.2,133,50,-50,261,54,-128,7.81E+023,23,,,,,,
1987-07-22,08:03:18.30,4.01,125.39,31.7,5.6,347,30,73,187,61,100,2.92E+024,24,,,,,,
1987-07-23,00:59:04.30,-6.95,120.62,495.6,5.2,126,65,176,218,86,25,8.2E+023,23,,,,,,
1987-07-31,00:27:32.70,0.17,123.96,142.5,5.5,189,17,56,45,76,100,2.14E+024,24,,,,,,
1987-08-07,20:32:55.90,-0.29,122.79,126.2,5.1,346,42,171,82,84,48,6.59E+023,23,,,,,,
1987-08-09,08:18:00.40,1.08,125.87,37.4,5.3,354,46,64,209,49,114,1E+024,24,,,,,,
1987-09-10,02:26:28.30,-7.5,123,623.2,5.5,229,27,-167,128,84,-63,2.32E+024,24,,,,,,
1987-09-29,00:40:37.40,2.63,126.51,15,5.3,331,39,87,155,51,93,1.27E+024,24,,,,,,
1987-11-14,21:20:46.30,0.04,125.93,20.4,5.8,230,24,118,20,69,78,5.79E+024,24,,,,,,
1987-11-21,19:23:53.60,-7.47,123.74,608.9,5.2,245,40,-153,133,73,-53,6.41E+023,23,,,,,,
1987-11-27,00:02:14.90,-0.24,125.78,18.6,6.1,232,33,121,17,62,72,1.53E+025,25,,,,,,
1987-11-28,04:03:54.00,-0.14,125.68,15,6.3,240,24,126,21,71,75,3.04E+025,25,,,,,,
1987-11-30,04:41:47.30,0.24,125.69,52.3,5.6,229,30,103,34,60,83,3.26E+024,24,,,,,,
1987-12-06,00:48:25.50,3.63,124.88,34.4,5.2,359,29,76,196,62,98,9.42E+023,23,,,,,,
1987-12-19,10:14:46.70,0.06,122.2,150.8,5.4,88,19,101,256,71,86,1.69E+024,24,,,,,,
1987-12-23,10:10:24.50,0.05,125.62,49.3,5.6,229,28,106,31,64,82,3.29E+024,24,,,,,,
1988-01-19,03:25:23.00,4.21,124.47,317.7,5.7,159,44,-130,29,58,-58,4.22E+024,24,,,,,,
1988-01-23,08:58:00.70,1.72,127,105.6,5.8,317,17,-15,62,86,-106,6.1E+024,24,,,,,,
1988-02-02,22:30:12.50,2.19,126.88,75.5,5.3,33,19,76,228,71,95,1.02E+024,23,,,,,,
1988-02-17,23:39:32.70,4.36,126.65,21,5.6,160,42,61,17,54,113,3.66E+024,24,,,,,,
1988-02-24,01:56:33.00,1.44,126.27,44.3,5.6,333,39,65,184,56,109,3.21E+024,24,,,,,,
1988-03-08,15:38:27.80,-1.95,125.24,33,5.9,161,76,-173,69,83,-14,9.37E+024,24,,,,,,
