no,ID BMKG,Date (hari-bulan-tahun),Time BMKG,Latitude,Longitude,Depth,Mw,az,cPhase,Segmen- grid,strike 1,dip 1,rake 1,strike 2,dip 2,rake 2,P azimuth,P plunge,T azimuth,T plunge,Quality,,
92,bmg2015vfqo,2015-10-29,22:17:34,-2.23,121.20,17.56,4.33,74,21,PewusaiMatano-003,214,70,155,313,67,22,264,2,173,32,B,,
93,bmg2016wneb,2016-11-16,06:36:27,-2.25,121.09,18.74,4.12,108,17,PewusaiMatano-003,74,45,-96,263,46,-84,254,85,349,0,B,,
94,bmg2016ycwk,2016-12-09,02:26:32,-2.20,121.09,13.85,4.53,105,16,PewusaiMatano-003,304,80,-163,211,73,-11,168,19,77,5,B,,
95,bmg2016ydhx,2016-12-09,08:16:58,-2.22,121.06,10.73,4.63,50,21,PewusaiMatano-003,196,80,-174,105,84,-10,60,11,151,3,B,,
96,bmg2017ighi,2017-04-28,06:48:46,-2.21,121.08,7.94,4.73,52,26,PewusaiMatano-003,46,76,26,310,65,165,176,8,271,28,A,,
97,bmg2018lzse,2018-06-20,14:28:20,-2.28,121.15,6.33,4.12,103,12,PewusaiMatano-003,351,86,-130,256,40,-6,226,36,112,29,C,,
98,bmg2018tixr,2018-10-03,06:14:12,-2.23,120.92,7.80,4.80,52,20,PewusaiMatano-003,209,61,100,10,30,73,292,16,142,72,B,,
99,bmg2018tjdr,2018-10-03,09:15:46,-2.18,120.89,10.13,4.70,49,22,PewusaiMatano-003,65,76,-172,333,82,-15,289,16,20,5,A,,
100,bmg2013fvsy,2013-03-25,01:06:15,-2.38,121.26,12.75,3.83,86,19,PewusaiMatano-003,24,80,-168,292,79,-10,248,15,158,1,B,,
101,bmg2010ounu,2010-07-30,14:26:28,-0.35,119.95,6.20,4.12,89,27,offshore-010,113,81,166,206,76,9,160,4,69,16,B,,
102,bmg2009ylnh,2009-12-15,01:26:51,-2.37,120.53,11.43,4.12,127,15,MatanoKuleana-001,304,61,-54,68,45,-136,264,58,9,9,C,,
103,bmg2010aiku,2010-01-05,14:36:27,-2.42,121.41,29.28,5.23,39,58,PamsoaBalawai-002,221,83,166,313,76,7,268,5,176,15,A,,
104,bmg2010cvsg,2010-02-10,08:46:17,-2.71,121.74,15.15,4.93,39,63,PamsoaBalawai-002,22,55,154,128,69,38,253,9,350,42,B,,
105,bmg2010fkac,2010-03-18,16:16:15,-1.64,120.60,14.18,4.73,84,26,MatanoKuleana-005,202,76,170,295,80,15,68,3,159,17,B,,
106,bmg2010fybx,2010-03-26,09:12:49,-1.34,120.31,8.14,4.63,46,22,PalukoroSaluki-004,44,80,-169,312,80,-11,268,15,358,0,A,,
107,bmg2010okhp,2010-07-24,23:51:12,-1.43,120.63,45.35,5.23,35,118,MatanoKuleana-006,328,60,-7,62,84,-150,289,26,191,16,C,,
108,bmg2010yzdv,2010-12-22,12:40:42,-1.22,120.23,8.23,4.22,97,16,PalukoroSaluki-004,348,90,-42,78,42,-180,294,28,41,28,D,,
109,bmg2011ctdu,2011-02-08,23:09:47,-2.65,121.89,10.67,4.43,171,15,PamsoaBalawai-002,20,85,168,111,79,5,66,5,336,12,B,,
110,bmg2011jzuq,2011-05-23,06:50:43,-1.46,120.34,9.95,4.83,67,15,PalukoroSaluki-004,302,53,-75,98,40,-108,262,77,21,7,B,,
111,bmg2011uomj,2011-10-20,12:51:56,-1.98,120.51,11.63,4.33,108,16,MatanoKuleana-003,210,80,165,302,75,11,256,3,165,18,B,,
112,bmg2013vblt,2013-10-27,15:19:41,-2.47,121.41,8.81,4.33,65,23,PamsoaBalawai-002,45,73,-175,313,85,-17,268,16,360,8,D,,
113,bmg2013ywlh,2013-12-20,19:33:59,-2.66,121.78,8.87,4.63,44,32,PamsoaBalawai-002,11,82,-176,281,86,-8,236,8,326,2,B,,
114,bmg2013ywlr,2013-12-20,19:44:33,-2.62,121.85,8.42,4.63,67,33,PamsoaBalawai-002,9,85,168,100,78,5,55,5,324,12,C,,
115,bmg2014cwou,2014-02-10,19:31:58,-2.55,121.55,9.27,4.73,63,23,PamsoaBalawai-002,188,78,174,279,84,12,53,4,144,12,A,,
116,bmg2014jcrc,2014-05-10,12:44:18,-2.44,121.51,12.64,4.43,79,19,PamsoaBalawai-002,213,71,128,328,40,30,277,18,164,51,C,,
117,bmg2014vpem,2014-11-04,03:32:53,-2.43,121.43,21.05,4.22,124,14,PamsoaBalawai-002,99,56,-8,193,83,-146,62,29,321,18,B,,
118,bmg2016eewt,2016-02-29,14:10:54,-1.42,120.42,13.71,4.63,69,33,PalukoroSaluki-004,251,89,138,341,48,1,304,27,198,29,B,,
119,bmg2017jdbl,2017-05-10,17:56:58,-0.13,119.74,12.47,4.33,94,25,offshore-004,242,86,107,346,17,15,316,38,169,47,A,,
120,bmg2017lufn,2017-06-17,14:23:49,-2.64,121.73,9.40,5.34,53,46,PamsoaBalawai-002,122,63,-11,217,81,-153,82,26,347,12,B,,
121,bmg2017luko,2017-06-17,16:57:13,-2.57,121.70,16.56,4.33,58,23,PamsoaBalawai-002,8,79,120,115,32,20,74,28,309,47,B,,
122,bmg2017oasr,2017-07-19,14:56:16,-0.37,119.94,36.67,4.12,102,15,offshore-010,181,67,-1,271,89,-157,138,17,44,15,B,,
123,bmg2017qqjl,2017-08-25,15:30:43,-2.22,120.60,8.60,4.53,126,23,MatanoKuleana-002,336,57,-91,157,33,-89,244,78,66,12,D,,
124,bmg2017toql,2017-10-06,09:23:41,-0.47,119.87,10.93,4.93,102,18,offshore-010,159,55,-24,263,71,-143,126,40,28,10,B,,
125,bmg2018bdov,2018-01-17,04:25:51,-0.46,119.86,8.32,4.33,169,15,offshore-010,101,34,-93,284,56,-88,202,79,13,11,B,,
126,bmg2018eegx,2018-03-01,06:11:10,-0.15,119.79,30.31,4.43,113,14,offshore-004,51,71,56,296,38,149,166,19,282,51,A,,
127,bmg2018hywx,2018-04-24,05:35:38,-2.05,120.42,5.56,4.22,72,14,PalukoroMoa-002,131,54,38,16,60,137,75,4,340,50,A,,
128,bmg2018ogae,2018-07-22,12:24:29,-2.48,121.52,8.15,4.53,76,17,PamsoaBalawai-002,284,66,-43,35,52,-149,243,47,342,9,B,,
129,bmg2018szzy,2018-09-28,09:11:14,-0.38,119.87,9.31,4.63,90,15,offshore-010,161,83,42,65,49,171,286,23,32,33,D,,
130,bmg2009ucdn,2009-10-13,23:10:42,-2.80,121.68,8.90,4.53,103,17,PamsoaBalawai-001,114,67,-7,207,83,-157,73,21,338,11,B,,
131,bmg2009uvkc,2009-10-24,12:15:17,-2.72,121.61,13.56,4.93,61,33,PamsoaBalawai-001,115,83,-7,206,83,-173,71,10,341,0,A,,
132,bmg2010oksq,2010-07-25,05:26:27,-1.32,120.52,25.43,4.12,111,17,PalukoroSaluki-005,335,50,-73,130,43,-109,308,76,53,4,D,,
133,bmg2010olht,2010-07-25,13:04:49,-1.30,120.49,38.49,4.43,43,24,PalukoroSaluki-005,299,54,-15,38,78,-143,265,35,164,15,C,,
134,bmg2010qgjf,2010-08-20,07:37:13,-1.36,120.44,11.78,4.22,113,19,PalukoroSaluki-005,337,81,-170,246,80,-9,202,14,111,1,B,,
135,bmg2010qgjt,2010-08-20,07:52:56,-1.33,120.50,7.30,4.63,66,24,PalukoroSaluki-005,61,30,87,245,60,92,333,15,160,75,C,,
136,bmg2011aeej,2011-01-03,06:46:43,-2.39,121.56,51.15,4.63,75,16,PamsoaBalawai-003,295,66,4,203,86,155,252,14,157,20,B,,
137,bmg2011zioa,2011-12-27,10:33:40,-1.50,120.48,31.94,4.93,102,17,PalukoroSaluki-005,205,62,-172,111,83,-28,64,24,161,14,B,,
138,bmg2012apaj,2012-01-09,05:13:53,-1.50,120.48,8.52,4.83,116,9,PalukoroSaluki-005,238,79,165,331,75,12,285,2,194,19,B,,
139,bmg2016zaif,2016-12-21,22:32:45,-1.02,120.19,8.24,4.12,73,26,PalukoroPalu-004,31,39,-101,225,52,-81,177,80,309,6,C,,
140,bmg2018sohn,2018-09-21,23:20:35,-0.91,119.71,58.98,5.23,20,98,PalukoroPalu-001,237,85,138,332,48,7,292,24,185,32,B,,
