#Longitude Latitude Depth_(km) mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) X_position(GMT) Y_position(GMT) ID rupture_type
123.154 -3.493 25.0 -3.07784 1.91862 1.15922 0.286166 0.929932 1.5873 24.0 X Y 103 N
124.818 -1.924 25.0 -1.77102 2.05772 -0.286696 -1.21713 1.89496 3.54695 27.0 X Y 104 SS-N
123.713 -1.274 25.0 0.115838 7.84238 -7.95821 -0.972907 0.416195 -5.25895 24.0 X Y 105 SS
126.5 -2.79 15.0 2.7233 -2.76136 0.0380634 -2.4742 -1.04014 2.2864 24.0 X Y 106 R-SS
123.4 -4.5 45.0 -1.64571 3.74263 -2.09692 -1.12229 -2.00465 -0.120062 23.0 X Y 107 SS-N
121.496 -0.381 42.0 -0.842363 0.978324 -0.13596 -0.367026 0.846931 1.2715 24.0 X Y 108 SS-N
124.21 0.97 39.4 0.913096 -0.679804 -0.233292 0.612207 0.116475 -0.442051 24.0 X Y 109 R
122.578 -1.715 25.0 -0.0476678 1.85936 -1.81169 0.0897407 0.354042 0.621457 25.0 X Y 110 SS
122.606 -1.761 24.2 0.471562 1.93887 -2.41043 0.956278 -0.251673 -0.540596 24.0 X Y 111 SS-R
121.1 -0.6 0.0 -4.44985 4.44373 0.00611601 -0.324881 0.143203 0.229341 24.0 X Y 112 N
120.736 -7.931 25.0 4.4595 -4.32541 -0.134093 0.839864 -1.51928 -1.99548 24.0 X Y 113 R
122.83 -7.03 33.0 5.204 -4.58184 -0.622159 1.60837 -0.652609 -2.09262 23.0 X Y 114 R
121.28 -7.7 41.1 2.92642 -2.57656 -0.349866 0.904454 -0.366989 -1.17676 24.0 X Y 115 R
120.76 -0.27 33.0 -5.245 1.80378 3.44123 0.295214 1.83174 2.6225 23.0 X Y 116 N
124.71 4.64 28.0 -1.48436 4.96641 -3.48205 -3.50713 2.27518 5.11104 23.0 X Y 117 SS-N
123.551 -1.12 30.0 0.26334 2.08029 -2.34363 -0.898204 0.618682 -0.177906 27.0 X Y 118 SS-R
123.59 -1.29 18.6 0.24552 1.86981 -2.11533 -0.822833 0.551556 -0.12276 27.0 X Y 119 SS-R
123.1 -1.54 33.0 0.0539682 1.31976 -1.37373 -0.315635 0.113215 0.258673 23.0 X Y 120 SS
123.376 -1.212 30.0 0.168561 4.02604 -4.1946 -0.96786 0.333759 0.810342 24.0 X Y 121 SS
123.409 -1.437 30.0 1.77719 0.828022 -2.60521 -1.21444 0.408118 -0.349927 24.0 X Y 122 R-SS
123.197 -4.34 20.0 2.13559 -0.632063 -1.50353 0.0442454 1.72306 -1.3177 25.0 X Y 123 R-SS
123.57 -1.41 21.0 -0.0890745 3.29756 -3.20849 -0.954642 1.00783 0.27212 22.0 X Y 124 SS-N
118.31 1.3 21.0 2.3871 -2.47279 0.085698 -4.33313 0.527112 -0.393482 22.0 X Y 125 R
118.392 1.065 17.8 0.781394 -0.809446 0.0280525 -1.41841 0.172545 -0.128803 24.0 X Y 126 R
121.53 0.29 33.0 -0.589657 -0.323028 0.912685 -0.994667 -0.343025 -1.80619 24.0 X Y 127 SS-N
123.312 -1.373 15.0 0.359831 1.83665 -2.19648 -0.891202 -0.558303 0.317364 24.0 X Y 128 SS-R
123.344 -5.809 15.0 4.20874 -4.11768 -0.0910604 5.74011 0.788796 -0.613555 23.0 X Y 129 R
122.84 -5.3 33.0 2.33966 -2.28904 -0.0506208 3.19095 0.438495 -0.341078 23.0 X Y 130 R
124.0 -1.62 33.0 0.03425 2.15274 -2.18699 0.42101 -0.284585 0.210842 24.0 X Y 131 SS
121.12 -1.09 33.0 3.49436 -0.635184 -2.85917 -0.125395 0.503816 -1.38754 22.0 X Y 132 R
122.16 0.28 33.0 7.43145 1.28024 -8.71169 -4.67322 -0.740165 -3.35167 22.0 X Y 133 R-SS
125.16 -7.24 28.1 0.907157 -0.574401 -0.332755 0.318089 -0.542578 0.481202 24.0 X Y 134 R
122.53 -5.35 33.0 2.03087 -1.28592 -0.744947 0.712113 -1.21468 1.07728 22.0 X Y 135 R
124.15 -5.29 33.0 -0.838615 -2.96365e-16 0.838615 -1.34384 -0.088142 1.21 23.0 X Y 136 N-SS
125.61 -1.17 33.0 1.24815 -0.556355 -0.691797 0.628701 0.747094 -0.620864 24.0 X Y 137 R
123.39 -3.9 33.0 0.918158 0.0882472 -1.0064 -0.371769 3.80912 -0.519134 23.0 X Y 138 R
123.28 -4.258 20.0 0.73186 0.0677191 -0.799579 -0.307448 2.91964 -0.35204 24.0 X Y 139 R
123.82 -3.9 16.0 0.729319 0.0700972 -0.799416 -0.295306 3.02569 -0.412363 24.0 X Y 140 R
120.637 -7.426 25.0 1.2347 -0.191735 -1.04296 -0.665874 -0.692287 -0.514524 24.0 X Y 141 R
121.22 -7.32 39.0 1.2347 -0.191735 -1.04296 -0.665874 -0.692287 -0.514524 24.0 X Y 142 R
125.34 1.39 15.0 -0.155731 -1.42659 1.58232 5.02859 5.95767 -0.183257 23.0 X Y 143 N
123.951 -4.1 15.0 0.0589717 -0.122851 0.0638795 0.417307 0.135333 1.82876 27.0 X Y 144 SS
124.11 -4.31 18.8 0.0484648 -0.10752 0.0590548 0.35197 0.111719 1.53845 27.0 X Y 145 SS
124.26 -5.2 34.1 -0.0917855 0.184194 -0.0924089 -0.331031 0.155776 1.04863 24.0 X Y 146 SS
124.33 -3.86 15.0 0.247781 0.0189662 -0.266747 0.128642 1.1187 1.08508 24.0 X Y 147 SS-R
124.044 -4.964 30.0 0.515875 0.809306 -1.32518 1.1183 0.668402 3.33008 24.0 X Y 148 SS
119.0 -1.0 33.0 0.815136 0.995679 -1.81082 2.48999 0.293105 -2.66374 23.0 X Y 149 SS-R
126.08 -2.07 21.0 -0.333729 0.211471 0.122258 -0.252356 1.44973 -0.510838 24.0 X Y 150 N
120.07 -3.66 33.0 -0.74718 0.991348 -0.244168 -0.643495 -6.06653 3.47873 22.0 X Y 151 N
122.5 -0.7 21.0 0.0770598 0.961681 -1.03874 -0.409298 0.276024 0.101662 24.0 X Y 152 SS-R
119.41 -1.11 35.0 -0.351429 0.0599926 0.291437 -0.0899783 -1.09061 -0.831699 23.0 X Y 153 N-SS
123.295 -4.174 15.0 0.826838 0.202318 -1.02916 -0.429722 1.27929 -0.413419 24.0 X Y 154 R
122.52 -3.89 33.0 0.97145 0.237703 -1.20915 -0.50488 1.50303 -0.485725 23.0 X Y 155 R
125.08 -1.28 32.0 0.92476 -0.0786294 -0.84613 0.14803 1.74152 -0.370975 23.0 X Y 156 R
125.533 3.461 35.0 1.37307 -0.0175079 -1.35556 0.464306 -0.549828 -0.710317 24.0 X Y 157 R-SS
125.42 3.71 48.0 1.28142 -0.0163393 -1.26508 0.433315 -0.513129 -0.662906 24.0 X Y 158 R-SS
119.39 -0.92 21.0 1.93129 -0.323305 -1.60798 -2.78414 -1.88935 -1.14797 23.0 X Y 159 R
124.27 1.16 33.0 -0.482667 -2.59088 3.07355 3.43243 -1.09187 -3.23308 23.0 X Y 160 SS-N
124.23 0.71 24.6 -0.482667 -2.59088 3.07355 3.43243 -1.09187 -3.23308 23.0 X Y 161 SS-N
