date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt
1991/05/19,00:58:02.900,1.177,122.962,23.7,6.87,291,67,98,92,24,72,2.48,19,"-0.02","0.73","1.77","-1.54","0.36",-1.75
1991/05/21,11:00:21.780,-7.469,126.516,25,6.57,283,59,106,74,34,65,8.7,18,"1.61","1.71","6.83","-3.68","-0.07",-8.45
1991/06/20,05:18:54.260,1.199,122.768,30,7.52,276,83,88,109,7,102,2.31,20,"0","0.24","0.55","-2.23","0.12",-0.54
1991/06/21,12:14:18.600,1.56,122.74,15,5.4,321,63,150,65,64,30,1.65e+24,24,,,,,,
1991/06/21,16:17:31.510,1.147,123.065,31.2,5.36,69,31,58,285,64,108,1.38,17,"0.21","0.35","1","-0.73","-0.05",-1.21
1991/07/04,07:08:37.800,-7.76,124.74,44.3,5.6,62,29,89,244,61,91,3.53e+24,24,,,,,,
1991/07/18,04:54:56.700,-7.61,122.4,43.7,5.8,14,83,-1,104,89,-173,5.39e+24,24,,,,,,
1991/08/08,02:09:48.870,1.088,122.542,30,6.59,273,65,92,88,25,86,9.44,18,"1.18","0.4","6.62","-6.07","0.14",-7.81
1991/08/08,22:08:31.600,1.261,122.551,27.2,5.03,115,38,115,265,56,72,4.45,16,"1.13","-0.53","3.52","-1.37","0.93",-4.65
1991/08/09,06:28:03.140,1.397,122.755,25,5.27,93,40,80,286,51,98,1.01,17,"0.14","0.12","0.9","-0.18","0.22",-1.04
1991/11/01,02:51:13.830,1.238,122.098,30,5.93,286,66,108,66,30,55,9.75,17,"2.28","2.25","6.26","-5.75","-0.3",-8.54
1991/12/23,19:57:39.100,-3.42,126.81,33,5.1,212,82,-178,122,88,-8,6.19e+23,23,,,,,,
1992/01/06,14:28:21.700,1.37,123.08,47.9,5.3,39,29,138,168,71,67,9.89e+23,23,,,,,,
1992/04/16,08:00:56.580,1.277,122.613,34.2,6.09,258,78,82,111,14,122,1.68,18,"0.2","-0.34","0.6","-1.49","0.02",-0.8
1992/05/06,08:52:51.220,-0.331,125.89,48.7,5.5,85,78,96,237,13,62,2.17,17,"0.36","0.19","0.65","1.97","-0.37",-1.01
1992/06/06,21:40:44.520,1.055,124.081,33.6,5.94,334,52,107,128,41,70,10.02,17,"-5.71","3.06","9.86","0.97","4.22",-4.14
1992/06/09,14:45:02.940,1.109,124.186,30,5.7,273,52,84,103,38,98,4.44,17,"-0.22","-0.24","4.35","-1.13","0.59",-4.13
1992/06/10,02:13:47.490,1.024,124.117,32.2,5.95,97,50,95,269,41,84,1.04,18,"0.04","-0.07","1","0.16","0.05",-1.05
1992/06/11,02:03:37.300,1.1,124.04,17.8,5.8,280,41,83,109,49,96,5.78e+24,24,,,,,,
1992/07/15,06:34:18.010,1.372,123.357,34.6,5.56,307,75,110,73,25,39,2.71,17,"0.26","1.59","1.39","-1.55","0.23",-1.65
1992/08/11,00:01:33.500,-0.05,125.64,45.8,5.5,223,23,98,35,67,87,1.95e+24,24,,,,,,
1992/09/23,08:10:54.970,1.256,123.575,35,5.41,53,33,56,272,63,110,1.65,17,"0.17","0.21","1.18","-0.91","-0.49",-1.35
1992/09/24,12:08:19.100,1.34,123.44,15,5.2,295,42,117,81,53,67,7.37e+23,23,,,,,,
1993/01/03,04:23:34.540,-1.562,119.699,25,5.67,160,83,19,68,72,173,3.93,17,"-3.38","-1","1.51","0.13","-2.71",1.88
1993/01/03,04:23:36,-1.6,119.5,31,5.1,68,72,173,160,83,19,,,,,,,,
1993/01/03,04:23:41.800,-1.17,120.08,48.4,5.7,68,72,173,160,83,19,3.93e+24,24,,,,,,
1993/01/28,20:51:48.700,-3.22,126.65,15,5.2,72,61,-3,164,87,-151,9.05e+23,23,,,,,,
1993/01/28,20:51:53.990,-3.088,126.732,17.3,5.24,72,61,-3,164,87,-151,9.05,16,"4.84","4.13","-0.65","-1.43","6.49",-4.19
1993/04/08,12:49:26.300,-4.4,120.1,25,5.5,203,43,91,22,47,89,,,,,,,,
1993/04/08,12:49:35.300,-4.06,120.72,43.5,5.3,203,43,91,22,47,89,1.23e+24,24,,,,,,
1993/05/06,05:42:04.300,1.1,123,29,5.5,74,37,59,292,59,111,,,,,,,,
1993/05/20,11:08:14.560,0.098,124.891,45,5.67,28,61,82,224,30,103,3.91,17,"-2.19","1.89","3.29","0.72","-1.66",-1.1
1993/05/20,11:08:18.300,-0.13,125.29,49.2,5.7,224,30,103,28,61,82,3.91e+24,24,,,,,,
1993/05/30,22:33:58.400,-1,124.3,34,5.8,309,10,127,91,82,84,,,,,,,,
1993/06/04,11:24:56.600,1.61,122.8,17.7,5.4,116,44,133,244,60,57,1.55e+24,24,,,,,,
1993/08/08,00:31:08.510,0.802,120.356,37.2,5.43,285,56,-18,25,75,-145,1.75,17,"-0.68","-1.01","-0.44","0.01","1.04",1.13
1993/10/23,07:22:33.400,2.11,122.43,47.9,5.2,98,35,102,264,56,82,9.32e+23,23,,,,,,
1993/12/07,16:27:22.500,0.5,122.7,46,5.3,274,24,-138,144,74,-71,,,,,,,,
1993/12/09,11:38:35.400,1.2,125,36,6.3,35,11,122,183,81,84,,,,,,,,
1993/12/12,18:26:38.700,1.4,123.9,0,5.3,333,29,65,181,64,103,,,,,,,,
1994/04/09,01:28:58.800,-0.7,123.3,40,5.1,266,31,154,18,77,62,,,,,,,,
1994/04/19,05:48:09.250,1.245,123.394,25,5.23,109,13,93,286,77,89,8.93,16,"-1.27","2.17","4.42","-7.73","0.75",-3.15
