date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,cluster
12-08-96,44:52.3,1.79,120.97,33.0,5.1,47,24,38,281,75,110,5.2e+23,23.0,,,,,,,-1
03-03-97,06:40.1,-7.978,117.58,28.5,5.1,229,68,9,136,82,158,5.61,16.0,4.66,-1.61,1.06,1.04,0.54,-5.72,-1
30-08-97,02:53.3,-1.13,124.4,35.3,5.1,313,65,27,211,65,152,5.72e+23,23.0,,,,,,,-1
31-07-98,17:33.3,-6.1,124.06,46.0,5.1,37,27,89,217,63,90,5.3e+23,23.0,,,,,,,-1
23-01-00,02:55.0,-7.03,122.83,33.0,5.1,234,40,70,80,53,106,,,,,,,,,-1
06-02-00,08:12.7,-0.28,126.76,12.0,5.1,23,30,104,187,61,82,,,,,,,,,-1
19-02-00,02:12.5,-0.27,120.76,33.0,5.1,45,37,-76,208,55,-100,,,,,,,,,-1
10-12-00,05:51.4,-0.99,121.45,33.0,5.1,124,8,-49,262,84,-95,,,,,,,,,-1
08-05-01,14:20.8,-0.93,121.88,15.0,5.1,318,47,-35,73,65,-131,5.58e+23,23.0,,,,,,,-1
23-07-02,35:17.6,1.16,124.27,33.0,5.1,199,50,-5,292,86,-140,,,,,,,,,-1
23-07-02,35:52.5,0.71,124.23,24.6,5.1,199,50,-5,292,86,-140,6.31e+23,23.0,,,,,,,-1
22-05-03,01:35.4,-0.17,124.15,39.0,5.1,176,36,89,358,54,91,,,,,,,,,-1
12-06-03,41:17.4,-0.81,123.97,41.4,5.1,91,74,-175,359,85,-16,5.1e+23,23.0,,,,,,,-1
09-03-04,56:27.5,-2.44,125.5,43.0,5.1,345,41,121,126,56,66,,,,,,,,,-1
25-06-04,00:47.0,-7.43,125.85,33.0,5.1,223,39,49,91,62,118,,,,,,,,,-1
12-11-04,52:44.4,-7.96,125.36,16.3,5.1,86,33,74,285,58,100,6.62e+23,23.0,,,,,,,-1
02-08-05,33:49.1,-5.4,123.7,30.0,5.1,225,31,-134,93,68,-68,,,,,,,,,-1
23-07-06,31:24.0,-0.49,123.54,31.0,5.1,168,55,37,55,61,139,,,,,,,,,-1
23-10-06,27:34.0,4.93,125.37,16.0,5.1,331,28,78,165,63,96,,,,,,,,,-1
15-03-07,48:20.9,-3.7,126.18,25.1,5.1,345,83,176,75,86,7,6.36e+23,23.0,,,,,,,-1
08-09-07,54:07.5,-0.9,125.82,32.4,5.1,234,37,44,106,65,119,5.37e+23,23.0,,,,,,,-1
24-09-07,42:13.3,-7.55,122.49,20.9,5.1,129,82,177,220,87,8,5.57e+23,23.0,,,,,,,-1
17-06-10,35:35.0,-1.19,123.68,28.5,5.1,218,61,158,319,71,30,5.74e+23,23.0,,,,,,,-1
