date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,cluster
23-06-04,26:01.0,-6.69,124.9,33.0,5.3,167,36,-163,64,80,-55,,,,,,,,,-1
30-06-04,37:25.3,0.81,124.65,33.0,5.0,45,71,3,315,88,161,,,,,,,,,-1
05-07-04,25:26.7,-5.9,122.5,33.0,4.8,30,40,88,213,50,91,,,,,,,,,-1
05-07-04,26:06.1,-5.06,122.7,17.9,4.8,30,40,88,213,50,91,1.98e+23,23.0,,,,,,,-1
08-08-04,42:11.9,-2.88,120.02,33.0,4.3,318,41,83,147,49,96,,,,,,,,,-1
08-08-04,40:30.0,4.8,120.43,25.0,5.0,318,41,83,147,49,96,3.87e+23,23.0,,,,,,,-1
09-11-04,51:59.8,-1.26,121.8,42.0,4.7,24,35,17,280,80,124,,,,,,,,,-1
12-11-04,59:51.8,-7.99,124.77,23.6,5.0,108,46,146,223,6,49,4.71e+23,23.0,,,,,,,-1
20-11-04,32:39.3,-2.8,125.87,20.0,5.3,92,45,-103,290,46,-78,,,,,,,,,-1
20-11-04,32:42.0,-3.389,126.101,10.0,5.33,92,45,-103,290,46,-78,1.23,17.0,-0.1,-0.16,-1.13,0,-0.28,1.24,-1
21-12-04,01:24.0,-6.6,124.8,33.0,5.0,49,73,-174,317,84,-17,,,,,,,,,-1
29-01-05,50:49.9,-2.006,126.596,15.0,5.18,90,51,-48,214,55,-130,7.49,16.0,0.58,4.08,-5.56,-1.82,3.19,4.97,-1
19-02-05,04:43.6,-5.652,122.174,11.6,6.44,179,49,59,41,49,121,5.64,18.0,-5.52,-0.36,4.28,0.97,-2.84,1.23,-1
19-02-05,04:43.0,-5.9,122.3,33.0,6.9,41,49,121,179,49,59,,,,,,,,,-1
25-02-05,20:31.6,-5.62,122.41,20.2,4.9,161,37,88,344,53,92,2.75e+23,23.0,,,,,,,-1
20-03-05,19:17.2,-7.931,124.716,26.1,5.36,227,32,43,99,69,114,1.37,17.0,-0.05,-0.48,0.91,0.88,-0.37,-0.85,-1
20-03-05,15:04.0,-7.993,124.82,29.6,5.78,143,81,12,51,78,171,5.67,17.0,-5.7,-0.4,0.7,1.26,-1.24,5,-1
13-06-05,02:32.0,-2.8,126.5,18.7,5.6,27,38,93,204,52,88,,,,,,,,,-1
09-07-05,40:34.3,-2.8,125.9,33.0,4.7,80,44,-141,320,64,-53,,,,,,,,,-1
02-08-05,33:49.1,-5.4,123.7,30.0,5.1,225,31,-134,93,68,-68,,,,,,,,,-1
20-11-05,34:42.7,-7.862,123.733,15.0,5.09,101,60,171,195,82,30,5.42,16.0,1.61,-2.69,0.8,-0.13,-4.2,-2.41,-1
31-01-06,40:51.3,1.57,117.898,15.0,5.4,120,38,93,297,52,88,1.59,17.0,-0.3,0.15,1.51,-0.37,0.69,-1.2,-1
17-03-06,21:37.2,-5.17,123.108,15.0,5.58,318,75,51,210,42,156,2.92,17.0,-2.77,1.58,1.24,-0.83,0.93,1.53,-1
22-05-06,53:59.0,-4.71,126.79,15.0,6.1,221,80,-2,311,88,-170,,,,,,,,,-1
15-08-06,05:11.0,-4.672,126.865,16.0,5.79,97,62,106,246,32,63,5.93,17.0,2.1,-0.47,3.95,2.99,-0.82,-6.05,-1
21-08-06,28:36.0,-2.86,126.21,21.0,5.0,175,44,121,314,53,63,,,,,,,,,-1
21-08-06,49:14.0,-2.87,126.21,10.0,5.4,140,39,79,334,52,99,,,,,,,,,-1
23-10-06,27:34.0,4.93,125.37,16.0,5.1,331,28,78,165,63,96,,,,,,,,,-1
23-10-06,13:40.0,4.78,125.65,10.0,5.3,329,25,84,156,66,93,,,,,,,,,-1
23-10-06,53:15.0,4.97,125.38,10.0,5.3,340,20,91,159,70,90,,,,,,,,,-1
23-10-06,40:17.5,4.905,125.28,17.8,5.32,340,20,91,159,70,90,1.22,17.0,-0.69,-0.87,0.8,0.33,0.25,-0.11,-1
23-10-06,19:21.0,4.95,125.22,10.0,5.7,315,27,80,146,63,95,,,,,,,,,-1
24-10-06,03:46.5,4.971,125.312,15.0,5.94,164,62,92,340,28,86,1.02,18.0,-0.79,-0.55,0.81,0.14,0.27,-0.02,-1
04-11-06,04:52.5,-4.045,121.637,15.0,5.19,114,44,-110,320,49,-72,7.72,16.0,2.33,-1.63,-7.09,-0.51,-4.21,4.76,-1
24-11-06,33:26.2,-3.738,119.287,31.8,5.07,209,46,110,1,47,70,5.03,16.0,-4.89,0.36,4.49,-0.96,-1.54,0.4,-1
13-12-06,46:39.7,-0.56,121.87,22.2,4.9,166,85,-2,256,88,-175,3.1e+23,23.0,,,,,,,-1
15-03-07,48:20.9,-3.7,126.18,25.1,5.1,345,83,176,75,86,7,6.36e+23,23.0,,,,,,,-1
06-05-07,03:44.5,-3.615,123.308,15.0,5.08,96,33,-74,258,58,-100,5.18,16.0,-0.56,0.85,-4.34,2.15,0.35,4.9,-1
06-05-07,03:15.2,-3.56,123.54,0.6,5.4,96,33,-74,258,58,-100,,,,,,,,,-1
08-09-07,54:07.5,-0.9,125.82,32.4,5.1,234,37,44,106,65,119,5.37e+23,23.0,,,,,,,-1
24-09-07,42:13.3,-7.55,122.49,20.9,5.1,129,82,177,220,87,8,5.57e+23,23.0,,,,,,,-1
04-12-07,37:13.6,2.54,123.46,33.0,6.3,67,45,78,264,46,102,,,,,,,,,-1
03-01-08,15:49.4,-5.882,122.721,15.0,5.39,207,48,63,64,49,116,1.54,17.0,-0.71,-0.4,1.44,0.44,-0.7,-0.73,-1
05-02-08,56:51.2,-3.536,118.03,40.0,5.78,261,53,128,28,51,51,5.74,17.0,-1.19,2.27,4.43,-1.78,-3.02,-3.24,-1
30-04-08,02:13.2,-7.98,121.8,21.2,5.0,105,79,175,196,85,11,3.51e+23,23.0,,,,,,,-1
18-05-08,25:42.6,4.66,118.28,12.0,5.0,134,80,8,42,82,170,4.2e+23,23.0,,,,,,,-1
20-10-08,54:20.0,0.2,120.64,33.0,6.5,314,35,35,194,71,120,,,,,,,,,-1
01-01-09,35:32.0,-1.48,122.0,10.0,5.3,119,29,121,265,66,74,,,,,,,,,-1
04-04-09,29:46.0,-2.91,126.64,15.0,5.2,325,79,180,55,90,11,,,,,,,,,-1
12-04-09,19:57.5,2.14,122.14,29.6,5.2,250,29,37,126,73,114,9.27e+23,24.0,,,,,,,-1
16-06-09,52:40.5,-4.073,126.415,18.4,5.13,344,80,176,75,86,10,6.24,16.0,3.62,0.94,-0.94,0.92,5.25,-2.69,-1
02-07-09,29:41.0,4.65,124.4,27.3,5.2,149,84,5,58,85,174,7.15e+23,23.0,,,,,,,-1
17-07-09,11:52.0,2.44,129.98,22.5,5.4,40,42,133,168,61,58,1.47e+24,24.0,,,,,,,-1
15-10-09,33:36.4,-3.557,123.228,15.0,5.75,240,52,-107,87,41,-69,5.23,17.0,0.11,1.43,-4.83,0.58,1.48,4.72,-1
