"// "
"// Example data file for Orient 3 (Vollmer, 2015)"
"// "
// Grovudalen Foliations
"// Partial data set of 625 strike and dips of foliations in gneisses, "
"// Grovudalen, Western Gneiss Region, Norway (Vollmer, 1985)."
"// "
"// Vollmer, F.W., 1985, A structural study of the Grovudal fold-nappe, western "
"// Norway: PhD thesis, University of Minnesota, Minneapolis, Advisor P.J. "
"// Hudleston, 233 p. "
"// "
// -------------------------------------------------------------------------------------
Easting,Northing,Strike,Dip,Type
964.000,228.000,351.0,63.0,S
967.000,228.000,12.0,59.0,S
969.000,228.000,26.0,59.0,S
967.000,234.000,21.0,65.0,S
961.000,239.000,305.0,72.0,S
963.000,239.000,300.0,75.0,S
968.000,244.000,16.0,75.0,S
961.000,248.000,101.0,84.0,S
962.000,248.000,284.0,84.0,S
960.000,250.000,23.0,76.0,S
962.000,251.000,241.0,73.0,S
966.000,255.000,309.0,88.0,S
965.000,255.000,14.0,78.0,S
965.000,259.000,19.0,65.0,S
963.000,259.000,100.0,71.0,S
965.000,262.000,28.0,82.0,S
960.000,263.000,75.0,76.0,S
962.000,264.000,37.0,86.0,S
968.000,265.000,4.0,85.0,S
968.000,267.000,343.0,85.0,S
961.000,267.000,59.0,68.0,S
968.000,268.000,311.0,70.0,S
966.000,269.000,148.0,70.0,S
969.000,270.000,71.0,68.0,S
968.000,272.000,40.0,65.0,S
968.000,272.000,16.0,84.0,S
968.000,273.000,188.0,85.0,S
963.000,275.000,159.0,81.0,S
969.000,276.000,12.0,79.0,S
965.000,278.000,180.0,74.0,S
968.000,279.000,184.0,83.0,S
960.000,282.000,199.0,90.0,S
969.000,282.000,184.0,90.0,S
967.000,284.000,199.0,90.0,S
964.000,285.000,203.0,75.0,S
966.000,285.000,192.0,75.0,S
964.000,287.000,209.0,90.0,S
966.000,292.000,65.0,74.0,S
964.000,293.000,30.0,88.0,S
968.000,293.000,205.0,85.0,S
971.000,157.000,54.0,85.0,S
971.000,168.000,84.0,87.0,S
971.000,168.000,261.0,82.0,S
978.000,169.000,86.0,80.0,S
976.000,172.000,64.0,70.0,S
972.000,172.000,80.0,76.0,S
975.000,175.000,73.0,60.0,S
975.000,177.000,47.0,54.0,S
974.000,183.000,14.0,40.0,S
973.000,187.000,51.0,55.0,S
979.000,188.000,88.0,67.0,S
979.000,189.000,88.0,66.0,S
979.000,192.000,352.0,60.0,S
979.000,192.000,29.0,50.0,S
978.000,197.000,49.0,50.0,S
977.000,203.000,32.0,83.0,S
977.000,204.000,110.0,78.0,S
976.000,204.000,30.0,58.0,S
974.000,206.000,23.0,68.0,S
973.000,207.000,27.0,63.0,S
978.000,208.000,14.0,48.0,S
977.000,211.000,30.0,63.0,S
970.000,213.000,10.0,69.0,S
973.000,214.000,5.0,45.0,S
975.000,216.000,41.0,71.0,S
973.000,218.000,42.0,67.0,S
973.000,225.000,31.0,73.0,S
975.000,232.000,19.0,80.0,S
974.000,233.000,22.0,76.0,S
979.000,236.000,222.0,80.0,S
978.000,237.000,188.0,79.0,S
976.000,237.000,214.0,78.0,S
970.000,238.000,13.0,44.0,S
975.000,241.000,178.0,82.0,S
978.000,242.000,19.0,76.0,S
973.000,243.000,17.0,67.0,S
978.000,248.000,333.0,72.0,S
971.000,249.000,311.0,84.0,S
971.000,250.000,10.0,73.0,S
979.000,252.000,1.0,82.0,S
978.000,256.000,184.0,86.0,S
975.000,257.000,348.0,88.0,S
973.000,258.000,346.0,87.0,S
973.000,264.000,189.0,88.0,S
971.000,266.000,6.0,83.0,S
978.000,266.000,168.0,51.0,S
974.000,269.000,174.0,80.0,S
975.000,269.000,174.0,70.0,S
973.000,271.000,189.0,80.0,S
973.000,273.000,171.0,70.0,S
971.000,276.000,182.0,80.0,S
972.000,278.000,178.0,83.0,S
974.000,281.000,183.0,77.0,S
972.000,281.000,178.0,76.0,S
974.000,284.000,7.0,78.0,S
971.000,285.000,172.0,69.0,S
971.000,290.000,181.0,62.0,S
974.000,290.000,171.0,80.0,S
