date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,corepoint
1988-11-26,20:20:12.85,1.591,126.517,15.0,5.23,34.0,45.0,116.0,179.0,50.0,66.0,8.68,16.0,-8.29,-1.29,7.44,1.86,-2.92,0.85,c
1989-02-10,11:15:24.12,2.424,126.564,30.0,7.1,210.0,59.0,92.0,26.0,31.0,87.0,5.45,19.0,-3.69,-2.17,4.97,-1.39,-1.79,-1.27,c
1989-02-10,15:23:56.44,2.48,126.655,30.0,5.9,43.0,56.0,121.0,176.0,45.0,53.0,8.7,17.0,-6.95,-0.17,7.28,4.48,-2.55,-0.32,c
1989-02-10,19:56:55.17,2.511,126.737,30.0,5.62,244.0,65.0,115.0,17.0,35.0,49.0,3.31,17.0,-1.71,0.02,2.57,-2.24,-1.16,-0.85,c
1989-02-10,20:29:44.15,2.518,126.645,30.0,5.78,231.0,66.0,100.0,28.0,26.0,69.0,5.72,17.0,-2.56,-2.04,4.24,-3.18,-2.17,-1.67,c
1989-02-11,01:57:04.59,2.438,126.564,30.0,5.77,23.0,47.0,72.0,229.0,46.0,108.0,5.62,17.0,-3.59,0.66,5,-0.73,-3.32,-1.41,c
1989-02-11,04:05:19.78,2.423,126.732,15.0,5.54,182.0,88.0,106.0,280.0,17.0,9.0,2.51,17.0,-0.24,-2.4,0.22,-0.13,0.7,0.03,c
1989-02-13,11:25:42.30,2.33,126.77,15.0,5.3,4.0,19.0,54.0,222.0,74.0,102.0,1.31e+24,23.0,,,,,,,c
1989-02-16,19:42:50.10,3.21,126.95,36.9,5.4,16.0,39.0,66.0,226.0,55.0,108.0,1.83e+24,24.0,,,,,,,c
1989-02-17,01:14:25.75,0.484,126.329,15.0,5.54,345.0,58.0,63.0,209.0,41.0,126.0,2.51,17.0,-2.65,0.81,1.83,-0.51,-0.34,0.82,c
1989-02-18,00:49:43.92,2.411,126.873,42.2,5.47,161.0,82.0,84.0,17.0,10.0,125.0,1.95,17.0,-0.52,-1.76,0.6,0.64,-0.06,-0.08,c
