"// "
"// Example data file for Orient 3 (Vollmer, 2015)"
// Latitude and longitude formated as spherical projection data
"// "
"// WorldEQ_1980-1990 - Earthquake epicenters 1980-1990, M greater than 4.5 "
"// "
//   and
"// "
// ModernCO - Modern continental outlines
"// "
// See those files for references.
"// "
// -------------------------------------------------------------------------------------
Longitude Sphere,Latitude Sphere,Type,Comment
-178.6,-17.9,EQ,
78.9,49.9,EQ,
-36.3,7.4,EQ,
166.8,-14.6,EQ,
123.8,-8.0,EQ,
154.9,-6.4,EQ,
144.2,12.1,EQ,
166.5,-12.1,EQ,
166.4,-13.4,EQ,
166.7,-13.5,EQ,
179.4,-22.2,EQ,
166.6,-13.7,EQ,
-74.5,-8.8,EQ,
95.4,24.9,EQ,
166.6,-13.5,EQ,
122.0,48.9,EQ,
43.4,-40.8,EQ,
152.9,-4.6,EQ,
-115.6,33.1,EQ,
166.5,-13.2,EQ,
30.7,36.6,EQ,
-118.8,-52.9,EQ,
166.3,-12.5,EQ,
102.7,-6.9,EQ,
148.1,-57.6,EQ,
129.7,26.8,EQ,
-76.5,7.0,EQ,
170.5,-21.6,EQ,
70.9,36.4,EQ,
180.0,-23.7,EQ,
139.6,-2.0,EQ,
150.2,43.2,EQ,
94.6,23.0,EQ,
-87.8,12.1,EQ,
-84.9,10.0,EQ,
166.2,-13.7,EQ,
120.6,13.3,EQ,
71.1,36.4,EQ,
-71.8,-17.8,EQ,
102.3,-4.8,EQ,
-179.8,-30.1,EQ,
166.2,-13.9,EQ,
174.0,-17.1,EQ,
99.6,-3.5,EQ,
154.0,-6.0,EQ,
-81.0,-2.0,EQ,
-80.9,-1.9,EQ,
152.7,46.8,EQ,
72.6,39.4,EQ,
153.6,-3.3,EQ,
156.2,49.1,EQ,
156.2,49.1,EQ,
-25.4,-58.9,EQ,
156.2,49.1,EQ,
146.2,44.9,EQ,
-173.0,-16.5,EQ,
127.2,1.7,EQ,
139.1,42.7,EQ,
169.3,-20.4,EQ,
-64.9,-26.6,EQ,
154.7,-5.2,EQ,
127.4,1.6,EQ,
-69.8,-19.1,EQ,
156.3,48.9,EQ,
48.0,-36.0,EQ,
45.8,42.8,EQ,
150.7,-9.8,EQ,
127.0,5.8,EQ,
156.4,49.1,EQ,
-174.5,-18.1,EQ,
153.6,-5.0,EQ,
-27.0,-56.1,EQ,
81.9,29.5,EQ,
141.1,34.1,EQ,
156.2,49.1,EQ,
-77.3,7.3,EQ,
-85.8,-41.4,EQ,
156.3,49.1,EQ,
-16.9,-37.4,EQ,
-71.8,-27.2,EQ,
-175.0,51.3,EQ,
-78.4,-10.3,EQ,
-179.2,-31.0,EQ,
149.0,-3.2,EQ,
126.6,5.6,EQ,
-177.2,-17.1,EQ,
122.7,3.5,EQ,
-177.3,-16.7,EQ,
144.5,42.0,EQ,
-177.3,-30.1,EQ,
28.7,-2.7,EQ,
126.6,8.7,EQ,
132.3,-6.6,EQ,
-71.6,-16.2,EQ,
