//
// Example data file for Orient 3 (Vollmer, 2015)
// Latitude and longitude formated as spherical projection data
//
// Modern continental outlines from data file Modern.cno of EdGCM Global Climate
// Modeling software (2005) http://edgcm.columbia.edu/:
//
// Chandler, M.A., S.J. Richards, and M.J. Shopsin, 2005: EdGCM: Enhancing climate 
// science education through climate modeling research projects. In Proceedings of the 
// 85th Annual Meeting of the American Meteorological Society, 14th Symposium on 
// Education, Jan 8-14, 2005, San Diego, CA, pp. P1.5. http://edgcm.columbia.edu
//
// Note: This file contains NaN (Not a Number) values for latitude and longitude to 
// indicate the end of a polygon. The original file used a single "999" value instead.
// A type "CO" is assigned, and a comment column contains the polygon name.
//
// -------------------------------------------------------------------------------------
Lat Sphere	Long Sphere	Type	Comment
-64.00	299.00	CO	CO-01(AN)
-64.25	298.50	CO	CO-01(AN)
-64.67	298.33	CO	CO-01(AN)
-64.75	297.33	CO	CO-01(AN)
-65.17	297.00	CO	CO-01(AN)
-65.08	296.00	CO	CO-01(AN)
-65.50	296.00	CO	CO-01(AN)
-65.92	295.00	CO	CO-01(AN)
-66.25	294.17	CO	CO-01(AN)
-66.58	294.50	CO	CO-01(AN)
-66.83	293.67	CO	CO-01(AN)
-67.33	293.67	CO	CO-01(AN)
-67.00	293.00	CO	CO-01(AN)
-67.08	292.33	CO	CO-01(AN)
-66.67	292.17	CO	CO-01(AN)
-66.92	291.33	CO	CO-01(AN)
-67.33	290.67	CO	CO-01(AN)
-67.75	290.75	CO	CO-01(AN)
-67.75	291.50	CO	CO-01(AN)
-67.42	292.50	CO	CO-01(AN)
-67.75	292.50	CO	CO-01(AN)
-68.08	293.17	CO	CO-01(AN)
-68.50	293.17	CO	CO-01(AN)
-68.83	292.67	CO	CO-01(AN)
-69.08	293.33	CO	CO-01(AN)
-69.42	292.67	CO	CO-01(AN)
-69.42	291.50	CO	CO-01(AN)
-70.00	291.50	CO	CO-01(AN)
-70.42	292.00	CO	CO-01(AN)
-70.92	292.50	CO	CO-01(AN)
-71.50	292.50	CO	CO-01(AN)
-71.83	293.00	CO	CO-01(AN)
-72.33	293.00	CO	CO-01(AN)
-72.83	292.50	CO	CO-01(AN)
-73.08	291.50	CO	CO-01(AN)
-73.17	290.00	CO	CO-01(AN)
-73.33	288.50	CO	CO-01(AN)
-73.42	287.00	CO	CO-01(AN)
-73.50	285.50	CO	CO-01(AN)
-73.00	286.00	CO	CO-01(AN)
-72.83	285.00	CO	CO-01(AN)
-72.58	283.50	CO	CO-01(AN)
-72.42	282.00	CO	CO-01(AN)
-72.83	281.33	CO	CO-01(AN)
-73.25	281.50	CO	CO-01(AN)
-73.00	280.50	CO	CO-01(AN)
-72.92	278.75	CO	CO-01(AN)
-72.83	277.00	CO	CO-01(AN)
-72.92	275.67	CO	CO-01(AN)
-73.08	274.50	CO	CO-01(AN)
-72.92	273.00	CO	CO-01(AN)
-72.92	271.25	CO	CO-01(AN)
-72.92	269.50	CO	CO-01(AN)
-72.75	267.75	CO	CO-01(AN)
-72.58	266.00	CO	CO-01(AN)
-72.42	264.33	CO	CO-01(AN)
-72.08	264.33	CO	CO-01(AN)
-71.83	263.00	CO	CO-01(AN)
-72.00	261.67	CO	CO-01(AN)
-71.75	260.17	CO	CO-01(AN)
-71.92	259.00	CO	CO-01(AN)
-72.17	260.33	CO	CO-01(AN)
-72.50	261.50	CO	CO-01(AN)
-72.92	262.50	CO	CO-01(AN)
-73.08	264.00	CO	CO-01(AN)
-73.42	264.00	CO	CO-01(AN)
-73.75	263.67	CO	CO-01(AN)
-73.75	262.50	CO	CO-01(AN)
-73.42	262.50	CO	CO-01(AN)
-73.08	262.00	CO	CO-01(AN)
-73.33	261.50	CO	CO-01(AN)
-72.92	260.33	CO	CO-01(AN)
-73.00	258.50	CO	CO-01(AN)
-72.67	258.67	CO	CO-01(AN)
-72.75	257.50	CO	CO-01(AN)
-73.25	258.67	CO	CO-01(AN)
-73.08	260.00	CO	CO-01(AN)
-73.42	261.00	CO	CO-01(AN)
-73.58	260.00	CO	CO-01(AN)
-73.50	258.50	CO	CO-01(AN)
-73.75	258.50	CO	CO-01(AN)
-74.00	259.33	CO	CO-01(AN)
-74.33	258.67	CO	CO-01(AN)
-74.75	260.50	CO	CO-01(AN)
-75.00	260.00	CO	CO-01(AN)
-74.75	258.67	CO	CO-01(AN)
-74.58	257.33	CO	CO-01(AN)
-74.58	255.50	CO	CO-01(AN)
-74.92	255.50	CO	CO-01(AN)
-75.08	254.00	CO	CO-01(AN)
-75.08	252.50	CO	CO-01(AN)
-74.67	251.50	CO	CO-01(AN)
-75.17	251.33	CO	CO-01(AN)
-75.00	249.67	CO	CO-01(AN)
-74.50	249.00	CO	CO-01(AN)
-74.00	248.50	CO	CO-01(AN)
-73.67	248.00	CO	CO-01(AN)
-74.00	247.33	CO	CO-01(AN)
-74.50	247.50	CO	CO-01(AN)
-75.00	247.67	CO	CO-01(AN)
-75.25	246.33	CO	CO-01(AN)
-75.17	243.67	CO	CO-01(AN)
-74.67	242.33	CO	CO-01(AN)
-74.17	242.33	CO	CO-01(AN)
-73.83	243.67	CO	CO-01(AN)
-73.67	243.33	CO	CO-01(AN)
-73.67	241.67	CO	CO-01(AN)
-73.58	240.00	CO	CO-01(AN)
-74.00	240.00	CO	CO-01(AN)
-73.75	238.67	CO	CO-01(AN)
-73.25	237.67	CO	CO-01(AN)
-73.25	236.33	CO	CO-01(AN)
-73.83	236.67	CO	CO-01(AN)
-74.33	235.50	CO	CO-01(AN)
-74.67	234.50	CO	CO-01(AN)
-75.17	233.67	CO	CO-01(AN)
-75.67	233.17	CO	CO-01(AN)
-76.00	233.00	CO	CO-01(AN)
-76.00	232.00	CO	CO-01(AN)
-75.75	230.33	CO	CO-01(AN)
-75.42	229.17	CO	CO-01(AN)
-75.00	228.00	CO	CO-01(AN)
-74.75	227.00	CO	CO-01(AN)
-74.75	224.50	CO	CO-01(AN)
-75.00	223.33	CO	CO-01(AN)
-75.25	221.67	CO	CO-01(AN)
-75.42	220.00	CO	CO-01(AN)
-75.75	219.33	CO	CO-01(AN)
-75.58	218.00	CO	CO-01(AN)
-75.83	216.00	CO	CO-01(AN)
-75.92	213.33	CO	CO-01(AN)
-76.33	213.67	CO	CO-01(AN)
-76.75	214.00	CO	CO-01(AN)
-77.25	214.00	CO	CO-01(AN)
-77.67	212.00	CO	CO-01(AN)
-77.83	209.50	CO	CO-01(AN)
-77.58	207.00	CO	CO-01(AN)
-77.17	206.00	CO	CO-01(AN)
-77.00	203.00	CO	CO-01(AN)
-77.17	201.33	CO	CO-01(AN)
-77.50	201.67	CO	CO-01(AN)
-77.83	202.00	CO	CO-01(AN)
-78.08	203.33	CO	CO-01(AN)
-78.17	205.50	CO	CO-01(AN)
-78.50	205.50	CO	CO-01(AN)
-78.42	203.33	CO	CO-01(AN)
-78.50	202.00	CO	CO-01(AN)
-78.83	203.00	CO	CO-01(AN)
-79.25	205.00	CO	CO-01(AN)
-79.67	207.50	CO	CO-01(AN)
-80.00	210.00	CO	CO-01(AN)
-80.33	212.00	CO	CO-01(AN)
-80.67	214.50	CO	CO-01(AN)
-80.92	213.50	CO	CO-01(AN)
-81.00	210.00	CO	CO-01(AN)
-81.17	207.00	CO	CO-01(AN)
-81.50	205.50	CO	CO-01(AN)
-82.00	206.00	CO	CO-01(AN)
-82.50	206.00	CO	CO-01(AN)
-83.00	206.00	CO	CO-01(AN)
-83.50	207.00	CO	CO-01(AN)
-84.00	206.50	CO	CO-01(AN)
-84.50	209.00	CO	CO-01(AN)
-84.83	213.00	CO	CO-01(AN)
-85.33	214.00	CO	CO-01(AN)
-85.58	208.00	CO	CO-01(AN)
-85.42	202.00	CO	CO-01(AN)
-85.42	197.00	CO	CO-01(AN)
-84.92	194.00	CO	CO-01(AN)
-84.67	190.00	CO	CO-01(AN)
-84.50	186.00	CO	CO-01(AN)
-84.33	182.00	CO	CO-01(AN)
-83.83	180.00	CO	CO-01(AN)
NaN	NaN	CO	End polygon
-71.08	283.83	CO	CO-02
-71.33	283.50	CO	CO-02
-71.67	284.00	CO	CO-02
-71.83	285.00	CO	CO-02
-72.17	285.67	CO	CO-02
-72.25	286.67	CO	CO-02
-72.58	287.00	CO	CO-02
-72.67	288.50	CO	CO-02
-72.58	290.00	CO	CO-02
-72.33	291.17	CO	CO-02
-71.92	291.50	CO	CO-02
-71.50	291.67	CO	CO-02
-71.00	291.50	CO	CO-02
-70.50	291.17	CO	CO-02
-70.00	290.67	CO	CO-02
-69.42	290.33	CO	CO-02
-68.83	289.67	CO	CO-02
-68.92	288.83	CO	CO-02
-69.08	288.33	CO	CO-02
-69.58	288.50	CO	CO-02
-70.08	289.00	CO	CO-02
-70.58	289.33	CO	CO-02
-70.83	289.00	CO	CO-02
-70.92	288.17	CO	CO-02
-71.00	287.00	CO	CO-02
-71.08	285.33	CO	CO-02
-71.08	283.83	CO	CO-02
NaN	NaN	CO	End polygon
0.00	279.92	CO	CO-03(NA-SA)
-0.33	279.50	CO	CO-03(NA-SA)
-0.83	279.50	CO	CO-03(NA-SA)
-1.00	279.08	CO	CO-03(NA-SA)
-1.67	279.25	CO	CO-03(NA-SA)
-2.17	279.25	CO	CO-03(NA-SA)
-2.33	279.08	CO	CO-03(NA-SA)
-2.50	279.42	CO	CO-03(NA-SA)
-3.00	279.83	CO	CO-03(NA-SA)
-2.50	279.92	CO	CO-03(NA-SA)
-2.50	280.33	CO	CO-03(NA-SA)
-2.83	280.17	CO	CO-03(NA-SA)
-3.33	280.00	CO	CO-03(NA-SA)
-3.50	279.67	CO	CO-03(NA-SA)
-3.83	279.17	CO	CO-03(NA-SA)
-4.25	278.67	CO	CO-03(NA-SA)
-4.67	278.67	CO	CO-03(NA-SA)
-5.17	278.83	CO	CO-03(NA-SA)
-5.67	279.17	CO	CO-03(NA-SA)
-6.00	278.83	CO	CO-03(NA-SA)
-6.25	279.17	CO	CO-03(NA-SA)
-6.50	279.67	CO	CO-03(NA-SA)
-6.83	280.00	CO	CO-03(NA-SA)
-7.25	280.33	CO	CO-03(NA-SA)
-7.83	280.50	CO	CO-03(NA-SA)
-8.17	281.00	CO	CO-03(NA-SA)
-8.67	281.33	CO	CO-03(NA-SA)
-9.17	281.50	CO	CO-03(NA-SA)
-9.67	281.67	CO	CO-03(NA-SA)
-10.17	281.83	CO	CO-03(NA-SA)
-10.83	282.33	CO	CO-03(NA-SA)
-11.33	282.50	CO	CO-03(NA-SA)
-11.83	282.83	CO	CO-03(NA-SA)
-12.17	283.00	CO	CO-03(NA-SA)
-12.50	283.33	CO	CO-03(NA-SA)
-13.00	283.50	CO	CO-03(NA-SA)
-13.67	283.83	CO	CO-03(NA-SA)
-14.17	283.75	CO	CO-03(NA-SA)
-14.67	284.17	CO	CO-03(NA-SA)
-15.00	284.50	CO	CO-03(NA-SA)
-15.33	284.83	CO	CO-03(NA-SA)
-15.75	285.50	CO	CO-03(NA-SA)
-15.83	286.00	CO	CO-03(NA-SA)
-16.25	286.50	CO	CO-03(NA-SA)
-16.58	287.17	CO	CO-03(NA-SA)
-16.67	287.50	CO	CO-03(NA-SA)
-17.00	288.00	CO	CO-03(NA-SA)
-17.25	288.50	CO	CO-03(NA-SA)
-17.67	288.83	CO	CO-03(NA-SA)
-17.83	289.17	CO	CO-03(NA-SA)
-18.25	289.67	CO	CO-03(NA-SA)
